partnerId,partnerName,centerId,address,pincode,locality,Remarks 
40,Medcheck Diagnostic and Clinic,18496,"2406, 18th Main Rd, 2406, 18th Main Rd, Kumaraswamy Layout II Stage, Stage 2, Kumaraswamy Layout, Bengaluru, Karnataka 560078, India",560078,Bengaluru,
50,RADIANT DIAGNOSTIC,17849,"C -1 A PATEL NAGAR 2 GHAZIABAD,NEAR RAPID METRO PILLAR NO 520,GHAZIABAD-201001",201001,Nehru Nagar 2,
244,Aditya Birla Memorial Hospital,17490,"Aditya Birla Memorial Hospital, Aditya Birla Hospital Marg, Thergaon, Pimpri-Chinchwad, Maharashtra 411033, India",411033,Pimpri-Chinchwad,
269,Lotus Diagnostic,11437,"D-1/29, Old Minal Residency, JK Rd, K-Sector, Govindpura, Bhopal, Madhya Pradesh 462023",462041,Ayodhya Nagar,
313,Shree Sai Diagnostic,17495,"794, Pratik Apartment, 1st floor, Usha Nagar, Annapurna Road Opp. Dashera Maidan, Indore Madhya Pradesh- 452009",452009,Lokmanya Nagar,
333,American Oncology Institute,5563,"At NRI Hospital, 6-224, 2, Mangalagiri, Chinakakani, Andhra Pradesh 522503",522503,NRI Medical College and Hospital,
346,PROLIFE DIAGNOSTICS - BANASWADI,21871,"HealthAssure - Prolife Diagnostics - Banasawadi - Quality service with quick results, Shalom Tower, No 999/8, 1st Floor, Service Road, Next CMR Colony, Outer Ring Rd, Bank Avenue Colony, Banaswadi, Bengaluru, Karnataka 560043, India",560043,Bengaluru,
418,Healthspring Diagnostics,623,"Healthspring Goregaon- A unit of Wellspring Healthcare Pvt Ltd, Shop No 1 & 2 ,1st Floor, Onkar Building, General Arun Kumar Vaidya Marg, opp. Oberoi Mall, Malad, Dindoshi, Goregaon, Mumbai, Maharashtra 400097, India",400097,Mumbai,
418,Healthspring Diagnostics,629,"3 & 4, Daffodil, Rekhi Sai Daffodil CHS Ltd, Plot 17, 18 & 19, Ramsheth Thakur School Road",410210,Kharghar,
418,Healthspring Diagnostics,8026,"Shop 1, 2 & 3 Ground Floor, Munish CHSL, LBS Marg, Opp. Johnson & Johnson Factory, Mulund (W)",400080,Mulund West,
418,Healthspring Diagnostics,8029,"3 & 4, Daffodil, Rekhi Sai Daffodil CHS Ltd, Plot 17, 18 & 19, Ramsheth Thakur School Road",410210,Kharghar,
418,Healthspring Diagnostics,8030,"Arti CHS Ltd Ground Floor, Plot 29, Flat B-3/C-4, Sector 2, Vashi",400703,Vashi,
418,Healthspring Diagnostics,8031,"Shop 4, Pataskar Enclat, Opp D-Mart, Next to Axis Bank, Godbunder Road, Kavesar",400615,Ghodbunder,
418,Healthspring Diagnostics,8034,"Ground Floor, Sr 163/1 2A/2B, Ashiyana Apartment  1, Aundh, Pune - 411007",411007,Aundh,
418,Healthspring Diagnostics,8776,"Shop No 1 The Emerald, opposite Canon Image Square, near Starbucks cafe, Roshan Nagar, Borivali West, Mumbai, Maharashtra 400091",400092,Borivali West,
445,Bhagwan mahavir medica,4068,"Near, Bariatu Road P.H.E.D Colony, Booty More Rd, Jai Prakash Nagar, Ranchi, Jharkhand 834009",834009,Jai Prakash Nagar,
457,Lotus Diagnostic Centre-Bhopal,13561,"KRS Agilus Diagnostic, Shop No 13, Raj Avenue 3, Milal Shopping Street, JK Road Bhopal",462041,Ayodhya Nagar,
466,Goyal Hospital - Hisar,6671,"Dabra chowk, Opp saraswati departmental stone hotel, Hisar, Haryana - 125001",125001,saraswati departmental stone,
466,Goyal Hospital - Hisar,16895,"Dabra chowk, Opp saraswati departmental stone hotel, Hisar, Haryana - 125001",125001,Shastri Nagar,
468,Dunakhe Hospital PVT. LTD.,716,"Plot No 9/10, Hotel aURANGABAD aSHOK cAMPUS, aDALAT ROAD, DIST AURANGABAD, MAHARASHTRA.",431005,Chintamani Colony,
477,Doctors Diagnostic Centre,720,"1441-A, Opp. PHTC, Ward No. 1, Najafgarh, Delhi ",110043,Najafgarh,
479,Dr. Charu Kohli Clinic,721,"C-234, Block-C, Defence Colony",110024,Defence Colony,
482,Rathi Hospital,724,"3, Nangloi, Najafgarh Road",110041,Ranhola Safipur,
594,vishal pathology,13867,"Vishal Ultrasound & Pathology Lab, near Railway Station, Mahavir Enclave, Bhagirath Kunj, Roorkee, Uttarakhand 247667, India",247667,Roorkee,
597,SS Clinical Lab (AD HOC),19626,"ARB Rasheed Mahal, No 45, N Main Rd, Opp To Fish Market, Chidambaram, Tamil Nadu 608001, India",608001,Chidambaram,
701,GAGAN Hospital,733,"158 ind area, Sai Rd, Baddi, Himachal Pradesh 173205",173205,Baddi,
734,medlife,4101,"Property bearing H.No. B-192, SecondFloor, Naraina Industrial estate phase-1, New Delhi",110028,Naraina Vihar,
774,Max Healthcare,766,"FC 50,C&D Block, Shalimar Place, Shalimar Bagh Paschimi, New Delhi, Delhi. 19 m from Max Super Speciality Hospital pin-110088 (India)",110088,Shalimar Bagh Paschimi,
774,Max Healthcare,767,"N 110, Block N, Panchsheel Park North, Panchsheel Park, New Delhi, Delhi 110017",110017,Panchsheel Park,
774,Max Healthcare,771,"Max Super Speciality Hospital, Dehradun, Mussoorie diversion Road, Johri, Malsi, Dehradun, Uttarakhand 248009, India",248009,Dehradun,
774,Max Healthcare,772,"A364, A Block, Pocket A, Sector 19, Noida, Uttar Pradesh 201301",201301,Sector 19,
774,Max Healthcare,773,"W-3, Ashok Marg, near Radisson Blu Hotel, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh 201012",201012,Vaishali,
774,Max Healthcare,779," B Block, Sushant Lok 1, Near Huda City Centre MF Husain Marg Near Huda City Centre, Sector 43",122001,Sushant Lok Phase 1,
774,Max Healthcare,3106,"BLK-Max Hospital, Pusa Rd, Radha Soami Satsang, Rajendra Place, New Delhi, Delhi 110005",110005,Karol Bagh,
774,Max Healthcare,3324,"A364, A Block, Pocket A, Sector 19, Noida, Uttar Pradesh 201301",201301,Sector 19,
774,Max Healthcare,5181,"Chandigarh Rd, near Civil Hospital, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Chandigarh 160055",160055,Sector 56A,
774,Max Healthcare,5874,"1 2, Press Enclave Marg, Saket Institutional Area, Saket, New Delhi, Delhi 110017",110017,Saket,
774,Max Healthcare,14189,"108A, IP Ext, I.P.Extension, Patparganj, Delhi, 110092",110092,Indraprastha Extension,
774,Max Healthcare,14395,"Max Hospital, Max Hospital, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",122009,Gurugram,
774,Max Healthcare,15399,"8, The Abhinandan CGHS Ltd, Amar Shaheed Rao Roopchand Marg, The Green Images, Sector 51, Gurugram, Haryana. 45 m from R4 Hospitality, Pin-122003 (India)",122003,Sector 51,
774,Max Healthcare,15772,"232, Mankapur, Koradi Rd, Byramji Town, Nagpur, Maharashtra 440030",440030,Manak Pur,
774,Max Healthcare,15773,"Hahnemann Chauraha Rd, Viraj Khand - 1, Viraj Khand, Gomti Nagar, Lucknow, Uttar Pradesh 226010",226010,Gomti Nagar,
774,Max Healthcare,16016,"Plot No. 1, Sector 10 Dwarka, Dwarka, Delhi, 110075",110075,Sector 19 Dwarka,
